North America,Central America,South America,Africa,Europe,Russia & Central-Asia,Middle East,India,China,Southeastern Asia,Korea & Japan,Oceania
CA,BZ,AR,DZ,AL,RU,IR,IN,CN,BD,KP,AU
US,CR,BO,AO,AM,KZ,IQ,XX,XX,BN,KR,FJ
GL,SV,BR,BJ,AT,KG,IL,XX,XX,BT,JP,NZ
MX,GT,CL,BW,AZ,TJ,JO,XX,XX,KH,XX,PG
BS,HN,CO,BF,BY,TM,KW,XX,XX,TL,XX,SB
CU,NI,EC,BI,BE,UZ,LB,XX,XX,ID,XX,VU
DO,PA,GF,CM,BA,MN,OM,XX,XX,LA,XX,NC
HT,XX,GY,CF,BG,XX,QA,XX,XX,LK,XX,XX
JM,XX,FK,TD,HR,XX,SA,XX,XX,MY,XX,XX
PR,XX,PY,CD,CY,XX,SY,XX,XX,MM,XX,XX
XX,XX,PE,CG,CZ,XX,AE,XX,XX,NP,XX,XX
XX,XX,SR,CI,DK,XX,YE,XX,XX,PH,XX,XX
XX,XX,TT,DJ,EE,XX,PK,XX,XX,TH,XX,XX
XX,XX,UY,EG,FI,XX,AF,XX,XX,TW,XX,XX
XX,XX,VE,EH,FR,XX,XX,XX,XX,VN,XX,XX
XX,XX,XX,GQ,GR,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,ER,DE,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,ET,GE,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,GA,HU,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,GM,IS,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,GH,IE,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,GN,IT,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,GW,XK,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,KE,LV,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,LS,LT,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,LR,LU,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,LY,MK,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,MW,MD,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,ML,ME,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,MR,NL,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,MA,NO,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,MG,PL,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,MZ,PT,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,NA,RO,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,NE,RS,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,NG,SK,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,RW,SI,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,SN,ES,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,SL,SE,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,SO,CH,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,ZA,TR,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,SS,UA,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,SD,GB,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,SZ,SJ,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,TZ,XX,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,TG,XX,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,TN,XX,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,UG,XX,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,ZM,XX,XX,XX,XX,XX,XX,XX,XX
XX,XX,XX,ZW,XX,XX,XX,XX,XX,XX,XX,XX
